**********************************************************************************

Results for system: 28 Li 12 La 48 O   8 Zr

DATE:   2/ 1/2019   11: 0:19

The first 10 points are the polyhedron corner points

**********************************************************************************

   mu_Li      mu_La      mu_O    |   mu_Zr
   -0.3209    -0.6082    -4.6066 |    0.0000
    0.0000    -0.1589    -4.9061 |    0.0000
   -0.2304    -0.5780    -4.6670 |    0.0000
    0.0000    -0.3257    -4.8644 |    0.0000
    0.0000    -0.3272    -4.7940 |   -0.4206
   -2.3970    -7.5181     0.0000 |  -10.0085
   -2.6242    -7.5181     0.0000 |   -9.2133
    0.0000    -0.4431    -4.7940 |   -0.2466
   -2.3970    -7.6341     0.0000 |   -9.8346
   -2.5638    -7.5785     0.0000 |   -9.3340
   -2.6042    -7.5141    -0.0061 |   -9.2526
   -2.5842    -7.5341    -0.0061 |   -9.2926
   -2.5842    -7.5141    -0.0061 |   -9.3226
   -2.5842    -7.4941    -0.0261 |   -9.2326
   -2.5842    -7.4541    -0.0461 |   -9.1726
   -2.5642    -7.5541    -0.0061 |   -9.3326
   -2.5642    -7.5341    -0.0061 |   -9.3626
   -2.5642    -7.5141    -0.0261 |   -9.2726
   -2.5642    -7.5141    -0.0061 |   -9.3926
   -2.5642    -7.4941    -0.0261 |   -9.3026
   -2.5642    -7.4741    -0.0461 |   -9.2126
   -2.5642    -7.4541    -0.0461 |   -9.2426
   -2.5642    -7.4341    -0.0661 |   -9.1526
   -2.5642    -7.3941    -0.0861 |   -9.0926
   -2.5442    -7.5741    -0.0061 |   -9.3726
   -2.5442    -7.5541    -0.0061 |   -9.4026
   -2.5442    -7.5341    -0.0261 |   -9.3126
   -2.5442    -7.5341    -0.0061 |   -9.4326
   -2.5442    -7.5141    -0.0261 |   -9.3426
   -2.5442    -7.5141    -0.0061 |   -9.4626
   -2.5442    -7.4941    -0.0461 |   -9.2526
   -2.5442    -7.4941    -0.0261 |   -9.3726
   -2.5442    -7.4741    -0.0461 |   -9.2826
   -2.5442    -7.4541    -0.0661 |   -9.1926
   -2.5442    -7.4541    -0.0461 |   -9.3126
   -2.5442    -7.4341    -0.0661 |   -9.2226
   -2.5442    -7.4141    -0.0861 |   -9.1326
   -2.5442    -7.3941    -0.0861 |   -9.1626
   -2.5442    -7.3741    -0.1061 |   -9.0726
   -2.5442    -7.3341    -0.1261 |   -9.0126
   -2.5242    -7.5741    -0.0061 |   -9.4426
   -2.5242    -7.5541    -0.0061 |   -9.4726
   -2.5242    -7.5341    -0.0261 |   -9.3826
   -2.5242    -7.5341    -0.0061 |   -9.5026
   -2.5242    -7.5141    -0.0461 |   -9.2926
   -2.5242    -7.5141    -0.0261 |   -9.4126
   -2.5242    -7.5141    -0.0061 |   -9.5326
   -2.5242    -7.4941    -0.0461 |   -9.3226
   -2.5242    -7.4941    -0.0261 |   -9.4426
   -2.5242    -7.4741    -0.0661 |   -9.2326
   -2.5242    -7.4741    -0.0461 |   -9.3526
   -2.5242    -7.4541    -0.0661 |   -9.2626
   -2.5242    -7.4541    -0.0461 |   -9.3826
   -2.5242    -7.4341    -0.0861 |   -9.1726
   -2.5242    -7.4341    -0.0661 |   -9.2926
   -2.5242    -7.4141    -0.0861 |   -9.2026
   -2.5242    -7.3941    -0.1061 |   -9.1126
   -2.5242    -7.3941    -0.0861 |   -9.2326
   -2.5242    -7.3741    -0.1061 |   -9.1426
   -2.5242    -7.3541    -0.1261 |   -9.0526
   -2.5242    -7.3341    -0.1261 |   -9.0826
   -2.5242    -7.3141    -0.1461 |   -8.9926
   -2.5242    -7.2741    -0.1661 |   -8.9326
   -2.5042    -7.5741    -0.0061 |   -9.5126
   -2.5042    -7.5541    -0.0261 |   -9.4226
   -2.5042    -7.5541    -0.0061 |   -9.5426
   -2.5042    -7.5341    -0.0261 |   -9.4526
   -2.5042    -7.5341    -0.0061 |   -9.5726
   -2.5042    -7.5141    -0.0461 |   -9.3626
   -2.5042    -7.5141    -0.0261 |   -9.4826
   -2.5042    -7.5141    -0.0061 |   -9.6026
   -2.5042    -7.4941    -0.0461 |   -9.3926
   -2.5042    -7.4941    -0.0261 |   -9.5126
   -2.5042    -7.4741    -0.0661 |   -9.3026
   -2.5042    -7.4741    -0.0461 |   -9.4226
   -2.5042    -7.4541    -0.0861 |   -9.2126
   -2.5042    -7.4541    -0.0661 |   -9.3326
   -2.5042    -7.4541    -0.0461 |   -9.4526
   -2.5042    -7.4341    -0.0861 |   -9.2426
   -2.5042    -7.4341    -0.0661 |   -9.3626
   -2.5042    -7.4141    -0.1061 |   -9.1526
   -2.5042    -7.4141    -0.0861 |   -9.2726
   -2.5042    -7.3941    -0.1061 |   -9.1826
   -2.5042    -7.3941    -0.0861 |   -9.3026
   -2.5042    -7.3741    -0.1261 |   -9.0926
   -2.5042    -7.3741    -0.1061 |   -9.2126
   -2.5042    -7.3541    -0.1261 |   -9.1226
   -2.5042    -7.3341    -0.1461 |   -9.0326
   -2.5042    -7.3341    -0.1261 |   -9.1526
   -2.5042    -7.3141    -0.1461 |   -9.0626
   -2.5042    -7.2941    -0.1661 |   -8.9726
   -2.5042    -7.2741    -0.1661 |   -9.0026
   -2.5042    -7.2541    -0.1861 |   -8.9126
   -2.5042    -7.2141    -0.2061 |   -8.8526
   -2.4842    -7.5941    -0.0061 |   -9.5526
   -2.4842    -7.5741    -0.0061 |   -9.5826
   -2.4842    -7.5541    -0.0261 |   -9.4926
   -2.4842    -7.5541    -0.0061 |   -9.6126
   -2.4842    -7.5341    -0.0261 |   -9.5226
   -2.4842    -7.5341    -0.0061 |   -9.6426
   -2.4842    -7.5141    -0.0461 |   -9.4326
   -2.4842    -7.5141    -0.0261 |   -9.5526
   -2.4842    -7.5141    -0.0061 |   -9.6726
   -2.4842    -7.4941    -0.0661 |   -9.3426
   -2.4842    -7.4941    -0.0461 |   -9.4626
   -2.4842    -7.4941    -0.0261 |   -9.5826
   -2.4842    -7.4741    -0.0661 |   -9.3726
   -2.4842    -7.4741    -0.0461 |   -9.4926
   -2.4842    -7.4541    -0.0861 |   -9.2826
   -2.4842    -7.4541    -0.0661 |   -9.4026
   -2.4842    -7.4541    -0.0461 |   -9.5226
   -2.4842    -7.4341    -0.0861 |   -9.3126
   -2.4842    -7.4341    -0.0661 |   -9.4326
   -2.4842    -7.4141    -0.1061 |   -9.2226
   -2.4842    -7.4141    -0.0861 |   -9.3426
   -2.4842    -7.3941    -0.1261 |   -9.1326
   -2.4842    -7.3941    -0.1061 |   -9.2526
   -2.4842    -7.3941    -0.0861 |   -9.3726
   -2.4842    -7.3741    -0.1261 |   -9.1626
   -2.4842    -7.3741    -0.1061 |   -9.2826
   -2.4842    -7.3541    -0.1461 |   -9.0726
   -2.4842    -7.3541    -0.1261 |   -9.1926
   -2.4842    -7.3341    -0.1461 |   -9.1026
   -2.4842    -7.3341    -0.1261 |   -9.2226
   -2.4842    -7.3141    -0.1661 |   -9.0126
   -2.4842    -7.3141    -0.1461 |   -9.1326
   -2.4842    -7.2941    -0.1661 |   -9.0426
   -2.4842    -7.2741    -0.1861 |   -8.9526
   -2.4842    -7.2741    -0.1661 |   -9.0726
   -2.4842    -7.2541    -0.1861 |   -8.9826
   -2.4842    -7.2341    -0.2061 |   -8.8926
   -2.4842    -7.2141    -0.2061 |   -8.9226
   -2.4842    -7.1941    -0.2261 |   -8.8326
   -2.4842    -7.1541    -0.2461 |   -8.7726
   -2.4642    -7.5941    -0.0061 |   -9.6226
   -2.4642    -7.5741    -0.0061 |   -9.6526
   -2.4642    -7.5541    -0.0261 |   -9.5626
   -2.4642    -7.5541    -0.0061 |   -9.6826
   -2.4642    -7.5341    -0.0461 |   -9.4726
   -2.4642    -7.5341    -0.0261 |   -9.5926
