**********************************************************************************

Results for system: 28 Li 12 La 48 O   8 Zr

DATE:   1/12/2018   10:49:37

The first 10 points are the polyhedron corner points

**********************************************************************************

   mu_Li      mu_La      mu_O       mu_Zr
   -0.3209    -0.6082    -4.6066     0.0000
    0.0000    -0.1589    -4.9061     0.0000
   -0.2304    -0.5780    -4.6670     0.0000
    0.0000    -0.3257    -4.8644     0.0000
    0.0000    -0.3272    -4.7940    -0.4206
   -2.3970    -7.5181     0.0000   -10.0085
   -2.6242    -7.5181     0.0000    -9.2133
    0.0000    -0.4431    -4.7940    -0.2466
   -2.3970    -7.6341     0.0000    -9.8346
   -2.5638    -7.5785     0.0000    -9.3340
   -2.5242    -7.5341    -0.0061    -9.5026
   -2.4242    -7.5341    -0.0061    -9.8526
   -2.4242    -7.4341    -0.1061    -9.4026
   -2.4242    -7.2341    -0.2061    -9.1026
   -2.3242    -7.2341    -0.2061    -9.4526
   -2.3242    -7.1341    -0.3061    -9.0026
   -2.3242    -6.9341    -0.4061    -8.7026
   -2.2242    -6.9341    -0.4061    -9.0526
   -2.2242    -6.8341    -0.5061    -8.6026
   -2.2242    -6.6341    -0.6061    -8.3026
   -2.1242    -6.6341    -0.6061    -8.6526
   -2.1242    -6.5341    -0.7061    -8.2026
   -2.1242    -6.3341    -0.8061    -7.9026
   -2.0242    -6.3341    -0.8061    -8.2526
   -2.0242    -6.2341    -0.9061    -7.8026
   -2.0242    -6.0341    -1.0061    -7.5026
   -1.9242    -6.0341    -1.0061    -7.8526
   -1.9242    -5.9341    -1.1061    -7.4026
   -1.9242    -5.7341    -1.2061    -7.1026
   -1.8242    -5.7341    -1.2061    -7.4526
   -1.8242    -5.6341    -1.3061    -7.0026
   -1.8242    -5.4341    -1.4061    -6.7026
   -1.7242    -5.4341    -1.4061    -7.0526
   -1.7242    -5.3341    -1.5061    -6.6026
   -1.7242    -5.1341    -1.6061    -6.3026
   -1.6242    -5.1341    -1.6061    -6.6526
   -1.6242    -5.0341    -1.7061    -6.2026
   -1.6242    -4.8341    -1.8061    -5.9026
   -1.5242    -4.8341    -1.8061    -6.2526
   -1.5242    -4.7341    -1.9061    -5.8026
   -1.5242    -4.5341    -2.0061    -5.5026
   -1.4242    -4.5341    -2.0061    -5.8526
   -1.4242    -4.4341    -2.1061    -5.4026
   -1.4242    -4.2341    -2.2061    -5.1026
   -1.3242    -4.2341    -2.2061    -5.4526
   -1.3242    -4.1341    -2.3061    -5.0026
   -1.3242    -3.9341    -2.4061    -4.7026
   -1.2242    -3.9341    -2.4061    -5.0526
   -1.2242    -3.8341    -2.5061    -4.6026
   -1.2242    -3.6341    -2.6061    -4.3026
   -1.1242    -3.6341    -2.6061    -4.6526
   -1.1242    -3.5341    -2.7061    -4.2026
   -1.1242    -3.3341    -2.8061    -3.9026
   -1.0242    -3.3341    -2.8061    -4.2526
   -1.0242    -3.2341    -2.9061    -3.8026
   -1.0242    -3.0341    -3.0061    -3.5026
   -0.9242    -3.0341    -3.0061    -3.8526
   -0.9242    -2.9341    -3.1061    -3.4026
   -0.9242    -2.7341    -3.2061    -3.1026
   -0.8242    -2.7341    -3.2061    -3.4526
   -0.8242    -2.6341    -3.3061    -3.0026
   -0.8242    -2.4341    -3.4061    -2.7026
   -0.7242    -2.4341    -3.4061    -3.0526
   -0.7242    -2.3341    -3.5061    -2.6026
   -0.7242    -2.1341    -3.6061    -2.3026
   -0.6242    -2.1341    -3.6061    -2.6526
   -0.6242    -2.0341    -3.7061    -2.2026
   -0.6242    -1.8341    -3.8061    -1.9026
   -0.5242    -1.8341    -3.8061    -2.2526
   -0.5242    -1.7341    -3.9061    -1.8026
   -0.5242    -1.5341    -4.0061    -1.5026
   -0.4242    -1.5341    -4.0061    -1.8526
   -0.4242    -1.4341    -4.1061    -1.4026
   -0.4242    -1.2341    -4.2061    -1.1026
   -0.3242    -1.2341    -4.2061    -1.4526
   -0.3242    -1.1341    -4.3061    -1.0026
   -0.3242    -0.9341    -4.4061    -0.7026
   -0.2242    -0.9341    -4.4061    -1.0526
   -0.2242    -0.8341    -4.5061    -0.6026
   -0.2242    -0.6341    -4.6061    -0.3026
   -0.1242    -0.6341    -4.6061    -0.6526
   -0.1242    -0.5341    -4.7061    -0.2026
   -0.0242    -0.3341    -4.8061    -0.2526
